Symbol,logFC,adj.P.Val,adj.P.Val_1_over,adj.P.Val_2_under
PREX1,-0.409942985864777,0.0139324679500049,1,0.0139324679500049
LOC202181,-0.476604196274756,0.0139528969363968,1,0.0139528969363968
RAB27A,-0.358804291848095,0.0139528969363968,1,0.0139528969363968
GAS7,-0.667156248876747,0.0139528969363968,1,0.0139528969363968
SERP2,0.408988138506089,0.01395778759123,0.01395778759123,1
IFT43,0.490608736583548,0.0139594923539702,0.0139594923539702,1
CLN8,0.443165370586186,0.0139624215912611,0.0139624215912611,1
CFAP46,0.53009058980824,0.0139783991815899,0.0139783991815899,1
PCMT1,0.220190630958783,0.0139834006423488,0.0139834006423488,1
PSD,0.569987559933782,0.0139949744613047,0.0139949744613047,1
CCDC84,0.409884050430673,0.0139952454021634,0.0139952454021634,1
RAB27A,-0.301939580898228,0.0139969009589566,1,0.0139969009589566
AMT,-0.542461334746788,0.0140102173922411,1,0.0140102173922411
BCL2L13,0.330864423597006,0.0140118095561184,0.0140118095561184,1
STX2,0.315252421110308,0.0140273999903023,0.0140273999903023,1
ADGRG3,0.462103683783312,0.0140273999903023,0.0140273999903023,1
STAR,0.433987376565629,0.0140427867782759,0.0140427867782759,1
CES2,-0.335454633865645,0.0140463197333283,1,0.0140463197333283
KPNA6,-0.284716004255005,0.0140466714851049,1,0.0140466714851049
CTDNEP1,-0.255177582566789,0.0140480630810294,1,0.0140480630810294
BGLT3,0.469589655281489,0.0140530637161991,0.0140530637161991,1
KDM4B,-0.344915911786449,0.0140562648977951,1,0.0140562648977951
RAE1,0.434034803191745,0.0140571237693921,0.0140571237693921,1
KCNC3,0.560686808325476,0.0140672559219473,0.0140672559219473,1
ANKEF1,-0.502054854399379,0.0140863124939069,1,0.0140863124939069
IL21R,0.548987127574702,0.0140885185577504,0.0140885185577504,1
KCTD3,0.306099369972005,0.0140903058197478,0.0140903058197478,1
COL27A1,-0.366710272391851,0.0140959775680707,1,0.0140959775680707
GPATCH2,0.852593854696369,0.0141014610738935,0.0141014610738935,1
CYCS,-0.979660933561028,0.0141027996397495,1,0.0141027996397495
